LOCATION,CODE
Curepe STP,CURE
Darceuil Lift Station,DARC
Debe WWTP,DSTP
Desalcott WTP,DCTP
Devenish Hill Reservoir,DEVR
Diamond Estate Well 1,DE01
Diamond Estate Well 2,DE02
Dibe Intake,DIBI
Diego Martin Lift Station,DMLS
Diego Martin Well 10,DM10
Diego Martin Well 11,DM11
Diego Martin Well 12,DM12
Diego Martin Well 14,DM14
Diego Martin Well 15,DM15
Diego Martin Well 16,DM16
Diego Martin Well 17,DM17
Diego Martin Well 9,DM09
Dinsley Lift Station,DINS
Dorrington Gardens Well 6,DG06
Double Bridge Booster Station,DBBS
Dow Village Booster,DVBS
Dundee Lift Station,DULS
Dundonald Hill Booster,DUNB
Dundonald Hill Reservoir 1,DHR1
Dunmore Hill Reservoir,DUNR
Dwight York Stadium Lift Station,DYSL
Eden Gardens Sewage Pumping Station,EGLS
Eden Gardens WWTP,EGTP
Edinburgh 500 WWTP ,ESTP
Edinburgh South Sewage Pumpng Station,ESLS
El Dorado Gardens STP,EDGP
El Dorado Junior & Secondary School STP,EDJS
El Dorado Youth Camp STP,EDYC
El Socorro Booster,EISB
El Socorro Well 1,ES01
El Socorro Well 10,ES10
El Socorro Well 11,ES11
El Socorro Well 12,ES12
El Socorro Well 13,ES13
El Socorro Well 14,ES14
El Socorro Well 1A,ES1A
El Socorro Well 3,ES03
El Socorro Well 6,ES06
El Socorro Well 7,ES07
El Socorro Well 8,ES08
El Socorro Well 9,ES09
El Socorro WTP,ELSP
Englishman's Bay Well,EB01
Fairview Park STP ,FPTP
Fantasy Island Booster,FAIB
Felicity Reservoir,FELR
Fernandes Compound Facility STP,FERN
Fiddlers Dream Lift Station,FDLS
Five Rivers WWTP,FRST
Foncette Road Booster,FRDB
Fort Booster,FORB
Fort George Reservoir,FTGR
Fort Read Reservoir,FRRR
Four Roads Reservoir,FRWR
Four Roads Tamana Intake,FRTI
Four Roads Well 1,FR01
Four Roads Well 2,FR02
Four Roads Well 5,FR05
Four Roads Well 6,FR06
Four Roads Well 7,FR07
Four Roads Well 8,FR08
Four Roads Well 9,FRD09
Four Roads Well 11,FR11
Four Roads Well 12,FRW12
Four Roads WTP,FRTP
Frederick Settlement WWTP,FRED
Freeport - Todd's Road Well 15,FT15
Freeport - Todd's Road Well 18,FT18
Freeport - Todd's Road Well 19,FT19
Freeport Todd's Road Reservoir,FTRR
Freeport Well 9,FR09
Freeport Well 12,FR12
Freeport Well 14,FR14
Freeport Well 15,FR15
Freeport Well 16,FR16
Freeport Well 17,FR17
Freeport Well 18,FR18
Freeport WTP,FREP
